person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,cb_person_cred_hist_length,loan_percent_income
22,59000,123,35000,16.02,3,0.59
21,9600,5,1000,11.14,2,0.1
25,9600,1,5500,12.87,3,0.57
23,65500,4,35000,15.23,2,0.53
24,54400,8,35000,14.27,4,0.55
21,9900,2,2500,7.14,2,0.25
26,77100,8,35000,12.42,3,0.45
24,78956,5,35000,11.11,4,0.44
24,83000,8,35000,8.9,2,0.42
21,10000,6,1600,14.74,3,0.16
22,85000,6,35000,10.37,4,0.41
21,10000,2,4500,8.63,2,0.45
23,95000,2,35000,7.9,2,0.37
26,108160,4,35000,18.39,4,0.32
23,115000,2,35000,7.9,4,0.3
23,500000,7,30000,10.65,3,0.06
23,120000,0,35000,7.9,4,0.29
23,92111,7,35000,20.25,4,0.32
23,113000,8,35000,18.25,4,0.31
24,10800,8,1750,10.99,2,0.16
25,162500,2,35000,7.49,4,0.22
25,137000,9,34800,16.77,2,0.25
22,65000,4,34000,17.58,4,0.52
24,10980,0,1500,7.29,3,0.14
22,80000,3,33950,14.54,4,0.42
24,67746,8,33000,12.68,3,0.49
21,11000,3,4575,17.74,3,0.42
23,11000,0,1400,9.32,3,0.13
24,65000,6,32500,9.99,3,0.5
21,11389,5,4000,12.84,2,0.35
21,11520,5,2000,11.12,3,0.17
25,120000,2,32000,6.62,2,0.27
26,95000,7,31050,14.17,3,0.33
25,306000,2,24250,13.85,3,0.08
26,300000,10,7800,13.49,4,0.03
21,12000,5,2500,7.51,4,0.21
22,48000,1,30000,18.39,2,0.63
24,64000,8,30000,14.54,3,0.47
25,75000,4,30000,16.89,4,0.4
23,71500,3,30000,,4,0.42
26,62050,6,30000,17.99,2,0.41
24,12000,4,2500,12.69,3,0.21
26,300000,10,20000,7.88,4,0.07
23,300000,1,24250,19.41,2,0.08
26,300000,9,10000,10.38,4,0.03
26,300000,0,25000,15.33,3,0.08
25,300000,9,18000,16.45,3,0.06
26,80690,8,30000,7.49,3,0.37
22,66300,4,30000,12.69,3,0.38
26,89028,0,30000,6.62,3,0.34
24,78000,4,30000,,4,0.38
23,78000,7,30000,18.62,3,0.38
23,92004,6,30000,15.23,3,0.33
23,97000,7,30000,10.65,2,0.31
25,120000,9,30000,7.9,4,0.25
26,280000,4,10000,15.96,3,0.04
26,277104,0,20000,11.48,3,0.07
23,277000,3,35000,,4,0.13
